No	カテゴリ	質問	回答	条件/例外	次の行動	エスカレーション	参照元	言い換えキーワード
11	競合比較	GENIEEが選ばれる理由は何ですか？	価格が最優先で最安値を求めている場合（スタンダード3,480円/ユーザー）、機能はシンプルで十分な場合、Excel管理から最小コストで脱却したい場合です。	GENIEEのターゲットは「価格優先・シンプル機能で十分・Excel脱却スタート」の中小〜中堅企業。将来の拡張性は低い。	提案前に「今後MA・CS・分析機能の需要があるか」「成長フェーズか」を確認する。	予算が月5万円以下・小規模・PoC目的の顧客は最初からGENIEEを推薦してTechFlowに合った顧客に集中するのも有効（案件L-003の学び）。	競合情報 GENIEE 選ばれる理由	GENIEE ジーニー 安い 価格 シンプル Excel脱却 小規模 中小企業 ちきゅう
12	競合比較	TechFlowがGENIEEに勝てる場面はどこですか？	将来的にMAやCSとの連携を見据えている場合、データ分析・可視化ニーズがある場合、商談管理プロセスが複雑になってきた場合、企業が成長フェーズでスケーラビリティが必要な場合です。	GENIEEは大企業対応に不向き（機能が限定的）。TechFlowは中堅〜大企業向けでスケールアップに対応。	「今後MA・CSを考えている」「データ分析したい」「商談が複雑化している」という顧客にはTechFlowの優位性を訴求。	GENIEEを選びそうな顧客（小規模・シンプル需要・低予算）は無理に引き止めず、TechFlowに合った顧客に注力する。	競合情報 GENIEE 勝てる場面	GENIEE ジーニー 勝ち 差別化 拡張性 成長 スケール エコシステム MA CS Analytics
13	競合比較	GENIEEとTechFlowでAnalyticsやMA連携はどう違いますか？	GENIEEはAnalytics機能が限定的で、MA（GENIEE MA）は別売り・連携が弱い。TechFlowはAnalytics（BI強化）とMA（CRMとのネイティブ連携）を統合したエコシステムを提供しています。	GENIEEのMAとの連携品質はTechFlow CRM+MAのネイティブ連携より劣る。GENIEEのAnalyticsは「限定的」との評価。	「将来的にMAやデータ分析を使いたい」という顧客にはTechFlowのエコシステムの将来価値を訴求。	GENIEEとTechFlowで明確な機能差を示せない場合は具体的なデモで確認する。	競合情報 GENIEE 比較	GENIEE ジーニー Analytics MA 連携 BI 分析 エコシステム ちきゅう
14	競合比較	SalesforceとTechFlowの導入期間はどのくらい違いますか？	TechFlowは最短2週間で本番稼働可能。Salesforceの大規模案件では3〜6ヶ月かかるケースが一般的です。コスト面でもTechFlowは導入費用込みで多くの場合50%安くなります。	TechFlowでも複雑なAPI連携・大規模データ移行がある場合は期間が延びる。「2週間」は標準的なケースの最短値。	「導入スピード重視」という顧客には「最短2週間」を強調して訴求。	API連携・複雑な要件がある場合は期間の再見積もりが必要（SEアサイン）。	競合情報 Salesforce 比較 / 製品カタログ 製品1 強み	Salesforce 導入期間 導入スピード 速い 2週間 3ヶ月 6ヶ月 比較 セールスフォース
15	競合比較	HubSpotとTechFlowのサポート体制の違いは何ですか？	TechFlowは全プランに専任カスタマーサクセスが無償で付属。HubSpotのサポートは有償オプション（サポート費用が別途かかる）です。サポートを重視する顧客にはTechFlowが有利です。	HubSpotのコミュニティサポートは無償だが、専任サポートは有償。サポートの具体的な対応範囲・SLAはプランにより異なる。	サポート・伴走を重視する顧客には「全プランCS付属」を積極的に訴求。	SLAの個別交渉が必要な場合は上長にエスカレーション。	競合情報 HubSpot 比較 / 製品カタログ 製品1 強み	HubSpot サポート CS カスタマーサクセス 伴走 無償 有償 比較 ハブスポット
16	競合比較	競合他社が「TechFlowはAIが弱い」と言ってきた場合どう対応しますか？	「現時点では機能が限定的です」と正直に認めた上で、「AIに頼りすぎると入力データの品質次第で予測が外れる。まず正確なデータ蓄積基盤を作ることが先決で、その点でTechFlowは強み」とリフレームします。また2026年Q3のAI大幅アップデートを紹介します。	正直な開示がかえって信頼につながることがある（案件W-001の学び）。AI機能が最優先要件の場合はSalesforceを選ぶよう正直に伝えることも重要。	AI機能の反論には正直な認知 → リフレーム → 将来性の3ステップで対応。	AI機能が絶対要件の場合はSalesforceを推薦する判断も検討。	営業プレイブック 第2章 2.2 反論4 / 競合情報 Salesforce 比較	AI 反論 Einstein HubSpot AI機能 弱い リフレーム 予測 自動化
17	競合比較	競合がグローバル対応の弱さを突いてきた場合どう対応しますか？	「グローバル展開の予定はどのくらいありますか？」と確認してから対応します。グローバル展開が確実なら正直に「Salesforceをお勧めします」と伝えます。日本法人の営業管理にTechFlowを使いつつグローバルはSalesforceという分離運用の提案も有効です。	グローバル展開が確実な大企業は最初からSalesforce推薦の方が良い（案件L-001の学び）。無理に取ろうとするとエグゼクティブレベルの競争になり敗北リスクが高い。	グローバル対応の要件を早期に確認し、TechFlowに向かない案件は早めに判断する。	グローバル展開が必須の大企業案件は上長に相談してSalesforce推薦の判断を仰ぐ。	営業プレイブック 第2章 2.2 反論5 / 競合情報 Salesforce / 過去事例 L-001	グローバル 多言語 多通貨 海外展開 反論 Salesforce 対応 弱み
18	競合比較	Salesforceのエコシステム（AppExchange）と比べてTechFlowはどうですか？	SalesforceのAppExchangeには6,000以上のアドオンがある一方、TechFlowは5製品のネイティブ連携エコシステムが強みです。国内業務に必要なコネクタはTechFlow Connectで対応可能です。	TechFlowは外部アドオンの数ではSalesforceに劣る。複雑なカスタマイズ要件がある場合はSalesforce+AppExchangeが優位な場合も。	エコシステムの比較では「国内業務に特化した5製品連携」の価値を訴求。	カスタマイズ要件が複雑な場合はSEをアサインして実現可能性を確認。	競合情報 Salesforce 比較 / 製品カタログ 製品5	Salesforce AppExchange エコシステム アドオン 拡張 カスタマイズ 連携 セールスフォース
19	競合比較	GENIEEと比べてTechFlowは大企業対応できますか？	TechFlowは中堅〜大企業（従業員50〜1,000名規模）に適しており、GENIEEは大企業対応に不向き（機能が限定的）です。ただし従業員5,000名超のエンタープライズはSalesforceが優位なケースがある。	GENIEEのターゲットは中小〜中堅企業。TechFlowのスイートスポットは50〜1,000名規模。5,000名超はSalesforceが優位。	顧客の規模・成長計画を確認してからTechFlowの適合性を判断する。	従業員5,000名超・グローバル展開の大企業案件はSalesforceを推薦する判断も検討。	競合情報 GENIEE 比較	GENIEE 大企業 スケール 規模 エンタープライズ ジーニー 中堅 成長
20	競合比較	Salesforce・HubSpot・GENIEEのサポートと比べてTechFlowのサポートはどうですか？	TechFlowは全プランに専任CSが無償付属。Salesforceは有償サポートが高額。HubSpotも専任サポートは有償。GENIEEは日本語サポートが充実しているが専任CSの仕組みは異なります。	サポートの対応時間・SLA・範囲はプランにより異なる。詳細な比較は営業担当者に確認が必要。	「導入後のサポートが心配」という顧客には「全プランCS無償付属」を強調。	SLAの個別交渉が必要な場合は上長にエスカレーション。	競合情報 全社比較 / 製品カタログ 製品1 強み	サポート 比較 Salesforce HubSpot GENIEE CS カスタマーサクセス 無償 有償 伴走
21	競合比較	競合比較マトリクスでTechFlowが最も優れているのはどの軸ですか？	価格競争力・日本語UI品質・導入の容易さ・中堅企業適合・サポート品質の5軸で◎評価（最高評価）です。機能の豊富さと（5製品）エコシステムも○評価（標準）です。	AI・自動化とグローバル対応は△評価。AI最優先・グローバル展開必須の顧客にはSalesforceを推薦。	顧客の重視軸を確認し、TechFlowが◎の軸を中心に訴求する。	競合比較マトリクスの詳細は競合情報資料を確認。	競合情報 競合比較マトリクス	比較マトリクス 優位 強み 評価 ランキング 選定基準 導入容易 価格 日本語 サポート
22	競合比較	他社を評価中の顧客に「TechFlowを選ぶべき理由」を一言で言うと何ですか？	「国内中堅企業で、早く・安く・確実に営業基盤を整えたいなら、日本語ネイティブUI・最短2週間導入・全プランCS無償付属のTechFlowが最適です」と伝えます。	グローバル展開・AI最前線・大規模カスタマイズが最優先なら正直にSalesforceを推薦する場合もある。	顧客が重視する軸（スピード・コスト・サポート・国内対応）に合わせて訴求メッセージを調整する。	顧客の重視軸がTechFlowの強みと合わない場合は上長に相談。	競合情報 全体	TechFlow 選ぶ理由 差別化 推薦 国内 中堅企業 コスト サポート 日本語 スピード
23	競合比較	HubSpotは特定電子メール法に対応していますか？	HubSpotは特定電子メール法（日本の迷惑メール規制）への対応に設定が必要ですが、TechFlowのMAは標準でオプトイン管理機能が搭載されており、対応の手間が少ないです。	法規制対応の詳細は各社の最新仕様を確認することを推奨。TechFlow MAのオプトイン管理は標準搭載。	コンプライアンス担当者が関与する案件では特定電子メール法対応を早めに確認・訴求（案件W-003の学び）。	法規制対応の詳細確認が必要な場合は法務部門にエスカレーション。	競合情報 HubSpot 比較 / 製品カタログ 製品2 強み	HubSpot 特定電子メール法 迷惑メール規制 オプトイン コンプライアンス 法規制 個人情報 MA
24	競合比較	価格競争でSalesforceが値引きしてきた場合どう対応しますか？	Salesforceの値引きがあっても、導入費用・カスタマイズコスト・有償サポートを含むTCOでの比較を提示します。TechFlowは「導入費用込みで多くの場合50%安い」という試算が有効です。	競合対抗値引きが必要で11%以上の値引きが必要な場合は営業マネージャーの承認が必要。	競合対抗には「TCO試算表」を活用してTotal Costで比較する。	11%以上の競合対抗値引きが必要な場合は営業マネージャーにエスカレーション。	競合情報 Salesforce 比較 / 営業プレイブック 第4章 4.1 値引き基準	Salesforce 値引き 価格交渉 TCO 競合対抗 コスト 総保有コスト セールスフォース
25	競合比較	GENIEEがPoC目的の小規模顧客に選ばれやすい理由は何ですか？	GENIEEはスタンダードプランが3,480円/ユーザーと最安値圏で、機能がシンプルなためPoC目的の小規模導入に向いています。一方TechFlowは機能が多く、PoC目的では「何から使えばいいか分からない」と感じさせてしまうことがある。	予算が月5万円以下・8名以下の小規模・PoC目的の顧客はGENIEEの方が適している可能性が高い。	小規模・PoC目的の顧客には「使う機能を絞って提案する」工夫が必要。それでも合わない場合はGENIEEを推薦する。	予算月5万円以下・小規模案件は、無理にTechFlowを提案するより適切な顧客に集中する（案件L-003の学び）。	競合情報 GENIEE 選ばれる理由 / 過去事例 L-003	GENIEE PoC 小規模 試用 試験導入 安い 予算 機能 シンプル ちきゅう
