No	カテゴリ	質問	回答	条件/例外	次の行動	エスカレーション	参照元	言い換えキーワード
11	反論対応	「Salesforceより高い」と言われたらどう対応しますか？	まずどのSalesforceプランとの比較かを確認します。Professionalとの比較ならTechFlowが安い。Essentials（$25）との比較は機能差を説明します。「TCO（総保有コスト）で比較すると導入費用込みで多くの場合50%安い」と伝えます。	Salesforce Essentials（$25）は機能が限定的で、同等機能で比較するとTechFlowの方が安くなるケースが多い。	比較しているSalesforceのプランを確認し、TCO試算表で比較を提示する。	競合対抗値引きが必要な場合（11%以上）は営業マネージャーの承認を取る。	営業プレイブック 第2章 2.1 反論1	Salesforce 高い 値段 比較 TCO 総保有コスト 反論対応 価格交渉 セールスフォース
12	反論対応	「GENIEEの方が安い」と言われたらどう対応しますか？	「今の要件だけなら確かに安い。ただし将来MAやCSを使う場合、連携コストが発生します」と伝えます。「3年間のTCOで比較しますか？GENIEEはSFA単体なので、MAを追加するとほぼ同額になるケースが多いです」と提案します。	GENIEEが安いのは事実。将来MAやCSを使わない場合はGENIEEが適している可能性もある。無理に引き止めない。	「3年間TCO試算」で比較を提示する。将来の機能需要を顧客に確認する。	TCO試算が必要な大型案件はCFO向け資料フォルダの資料を活用。	営業プレイブック 第2章 2.1 反論2	GENIEE 安い 価格 比較 TCO 将来 拡張 コスト ジーニー
13	反論対応	「予算がない・費用対効果が見えない」と言われたらどう対応しますか？	ROIを数値で示します。「営業10名が1日30分削減×250日=1,250時間/年、時給3,000円換算で375万円の削減効果」のように、削減できる工数・コストを具体的に試算して提示します。	ROI試算は顧客の実情（営業人数・作業時間）に合わせてカスタマイズする。信頼性を高めるために顧客自身の数値を使う。	ROI試算シートを使って顧客の数値で試算する。	ROI提示後も予算承認が下りない場合は財務担当者・役員への説明支援を上長に相談。	営業プレイブック 第2章 2.1 反論3	予算 ROI 費用対効果 コスト削減 効果 投資回収 価値 見積もり
14	反論対応	「AI機能が弱い」と言われたらどう対応しますか？	「Einstein AIやHubSpotのAI機能と比べると現時点では機能が限定的です」と正直に認めた上で、「AIに頼りすぎると入力データの品質次第で予測が外れる。まず正確なデータ蓄積基盤を作ることが先決で、その点でTechFlowは強み」とリフレームします。2026年Q3のアップデート予定も紹介します。	AI機能が最優先要件の顧客にはSalesforceを正直に推薦する場合もある（信頼獲得が優先）。	正直な認知 → リフレーム → 将来性（Q3アップデート）の3ステップで対応。	AI機能が絶対要件の場合はSalesforce推薦の判断を上長に相談。	営業プレイブック 第2章 2.2 反論4	AI 機能 弱い Einstein 予測 自動化 リフレーム 反論対応 HubSpot
15	反論対応	「グローバル対応が弱い」と言われたらどう対応しますか？	「現在・近い将来のグローバル展開の可能性はどのくらいありますか？」と確認します。グローバル展開が確実なら正直に「Salesforceをお勧めします」と伝えます。日本法人にTechFlowを使いつつグローバルはSalesforceという分離運用の顧客もいます。	グローバル展開が確実な大企業はSalesforceを推薦する方が長期的な信頼につながる。	グローバル要件を早期に確認し、TechFlowに合わない案件は早めに見極める。	グローバル展開が確実な大企業案件は上長に相談の上Salesforce推薦も検討。	営業プレイブック 第2章 2.2 反論5	グローバル 海外 多言語 多通貨 反論対応 Salesforce 弱み 対応
16	反論対応	「カスタマイズが難しい」と言われたらどう対応しますか？	「具体的にどんなカスタマイズが必要ですか？」と確認します。90%のケースはノーコードで実現可能です。カスタムオブジェクトの複雑な連携・API開発が必要な場合は技術営業（SE）を同席させます。	カスタマイズ要件の詳細を確認せずに「難しい」と諦めないこと。まず要件を整理してSEに確認する。	具体的なカスタマイズ要件を確認し、ノーコードで実現できるかをデモで見せる。	API開発・複雑なカスタム要件が必要な場合はSEをアサイン。	営業プレイブック 第2章 2.2 反論6	カスタマイズ 難しい 設定 API 開発 ノーコード 柔軟性 反論対応
17	反論対応	「今すぐ決められない・もう少し検討したい」と言われたらどう対応しますか？	「検討に必要な情報が不足している部分はありますか？」と確認します。「30日間無料トライアルで実際の商談データで試してみてはいかがでしょうか？」と行動を提案します。「2週間後にフィードバックをいただけますか？」と期限を設定します。	無期限の「検討中」にしないよう、必ずネクストアクションを設定する。	無料トライアルへの誘導と2週間後のフォローアップを設定する。	3ヶ月以上停滞している商談は上長にエスカレーション（営業マネージャーへの相談）。	営業プレイブック 第2章 2.3 反論7	検討中 決断 停滞 トライアル 無料試用 クロージング ネクストアクション
18	反論対応	「他のベンダーも検討している」と言われたらどう対応しますか？	「もちろんです。どちらのベンダーと比較されていますか？」と受け入れてから確認します。「比較の中で最も重視されている軸はどれですか？」（価格・機能・サポート等）を聞き、重視軸に合わせてTechFlowの強みを再提示します。	他社の名前が出たら、その競合に対するTechFlowの優位ポイントを整理する。	競合を確認→重視軸を確認→TechFlowの強みを再提示の3ステップで対応する。	エグゼクティブレベルの競争になっている場合はVP of Salesをアサイン。	営業プレイブック 第2章 2.3 反論8	他社比較 競合 比較検討 重視軸 差別化 反論対応 選定
19	見積もりルール	見積もりを作成する際の基本原則は何ですか？	①標準価格を起点にする（割引は理由なく提示しない）②年払い優先（月払いより先に年払いを提示）③セット提案を先にする（単製品より複数製品のセット提案を優先）④有効期限は発行日から30日間です。	割引を提示する場合は必ず理由を明示する（年払い・複数年・参照事例提供・競合対抗等）。口頭での割引言及は避ける。	見積書発行前に年払い・セット割引の組み合わせを確認する。	特殊な割引条件（Enterprise案件で月額500万円以上の個別設定）は上長承認が必要。	営業プレイブック 第3章 3.1 見積もりの基本原則	見積もり 基本原則 年払い セット割引 有効期限 価格 作成
20	見積もりルール	見積もりに年払いを先に提示すべき理由は何ですか？	年払いは月払い比10%割引で節約額を明示でき、顧客にコストメリットを示しやすいためです。例：Growthプラン20名の場合、年払いで月払い比約23万円節約できます。	年払い選択は営業担当者の判断で10%割引を適用可能（上長承認不要）。単年・月払いのままでの値引きは推奨しない（年払いへの誘導を先に行う）。	月払いを希望する顧客には年払いの節約額を具体的に提示してから判断を促す。	年払いへの切り替えを顧客が強く拒否する場合は月払いでの提案に切り替える。	営業プレイブック 第3章 3.1 見積もりの基本原則	年払い 月払い 割引 節約 コスト 見積もり 基本方針
21	値引きルール	営業担当者が自分の判断でできる値引きの上限は何%ですか？	0〜10%が営業担当者の判断で適用可能です。条件は「年払い選択・複数年契約・参照事例の提供承諾」のいずれかが必要です。11%以上は営業マネージャーの承認が必要です。	「なんとかならない？」という理由のない値引き要求には応じない。上限を超えた値引きの事前約束は禁止。	値引き提示前に必ず理由（年払い・複数年・参照事例等）を確認する。	11%以上の値引きが必要な場合は営業マネージャーにエスカレーション。	営業プレイブック 第4章 4.1 値引き基準	値引き 割引 権限 10% 上限 営業担当 ディスカウント
22	値引きルール	11%〜20%の値引きをするにはどうすれば良いですか？	営業マネージャーの承認が必要です。適用条件は「競合他社との価格差が明確」または「大型案件（月額200万円以上）」のいずれかです。競合見積もりのコピーを上長に提出します。	上限を超えた値引きの事前約束は禁止。口頭での確約もNG。	競合見積もりのコピーを入手し、上長（営業マネージャー）に承認申請する。	承認なく11%以上の割引を提示した場合は後で否認が必要になるため絶対にしない。	営業プレイブック 第4章 4.1 値引き基準	値引き 11% 20% マネージャー承認 競合対抗 大型案件 ディスカウント
23	値引きルール	21%以上の値引きが必要な大型案件はどうすればいいですか？	VP of Salesの承認が必要です。対象は「戦略的アカウント・上場企業・業界リーダー・プレスリリース承諾案件」です。31%以上の値引きは禁止（役員案件のみ例外）。	月額300万円以上の大型案件もVP of Salesにエスカレーション。21%以上の値引きは滅多に出さない。	VP of Salesへの承認申請を事前に行い、承認なく値引きを約束しない。	31%以上の値引き要求は断る（例外は役員案件のみ、役員に確認が必要）。	営業プレイブック 第4章 4.1 値引き基準	値引き 21% VP of Sales 大型案件 戦略的アカウント 上場企業 承認 ディスカウント
24	値引きルール	値引きを正当化できる理由は何ですか？	①年払い・複数年契約（年払い選択のため10%割引）②複数製品セット（セット割引表を適用）③参照事例提供（導入事例インタビュー・ロゴ掲載承諾で5%割引）④競合見積もりへの対抗（上長に競合見積もりを提出・承認）⑤初回導入記念（新規顧客向け初年度のみ10%割引キャンペーン）	理由なき値引き要求（「なんとかならない？」）は応じない。単年・月払いのままでの値引きは推奨しない。	値引きを提示する場合は、必ず上記5つのいずれかの理由を明示してから提示する。	承認なく理由なしで値引きを提示しないよう注意。	営業プレイブック 第4章 4.2 値引きの正当化ルール	値引き 正当化 理由 年払い 事例提供 競合対抗 初回 ディスカウント 根拠
25	エスカレーション	技術営業（SE）を商談に同席させるべき条件は何ですか？	①API連携・システム連携の要件がある②セキュリティ詳細確認が必要（ISMS・SOC2・ペネトレーション等）③カスタマイズ要件が複雑④データ移行規模が大きい（100,000件以上）⑤Enterprise案件でRFP回答が必要、のいずれかに該当する場合です。	SE同席が必要か判断できない場合は上長に確認。技術的な質問に自信を持って答えられない場合はSEを呼ぶ方が信頼を損なわない。	商談前に技術的な要件を確認し、SEアサインが必要か判断する。	SEのスケジュールが合わない場合は翌日以内に回答する（案件W-002の学び）。	営業プレイブック 第5章 5.1 SE アサイン基準	SE 技術営業 エスカレーション アサイン API連携 セキュリティ データ移行 RFP 技術要件
26	エスカレーション	上長（営業マネージャー）にエスカレーションすべき条件は何ですか？	①競合対抗値引きで11%以上が必要②顧客からのクレーム・不満が発生③商談が3ヶ月以上停滞④特殊な契約条件（秘密保持・SLAの個別交渉）が求められている⑤公共機関・官公庁への提案（入札対応）	早めにエスカレーションする方が問題が小さいうちに解決できる。自己判断で進めて後から問題になるケースは避ける。	上記条件に一つでも当てはまる場合はすぐに上長（営業マネージャー）に相談する。	上長への相談なく11%以上の値引きを確約しないこと。	営業プレイブック 第5章 5.2 上長エスカレーション基準	マネージャー エスカレーション 上長 11% 値引き クレーム 停滞 契約 官公庁
27	エスカレーション	VP of Salesにエスカレーションすべき条件は何ですか？	①月額300万円以上の大型案件②21%以上の値引きが必要③競合とのエグゼクティブレベルの関係構築が必要④M&A・IPO関連で経営者同士の面会が有効、のいずれかに該当する場合です。	VP of Salesへのアサインは大型・戦略案件に限定。早めに相談することでエグゼクティブリレーションシップが構築できる。	大型案件の兆しがあれば早めにVP of Salesに情報共有する。	VP of Salesが対応できない場合は役員同士の関係構築が必要かを検討。	営業プレイブック 第5章 5.3 VP of Sales エスカレーション基準	VP of Sales エスカレーション 大型案件 300万 21% エグゼクティブ M&A IPO 役員
28	エスカレーション	法務・コンプライアンスにエスカレーションすべき条件は何ですか？	①個人情報処理委託契約の特別条項が求められる②顧客からの独自契約書（カスタム利用規約）への同意③海外データ移転の確認が必要④反社会的勢力チェックが必要と判断される、のいずれかに該当する場合です。	法務エスカレーションが必要な案件は自己判断で対応しないこと。契約書への同意は法務部門の確認が必須。	上記条件に当てはまる場合は即座に法務・コンプライアンス部門に相談する。	反社チェックが必要と判断した場合は商談を進める前に確認する。	営業プレイブック 第5章 5.4 法務エスカレーション基準	法務 コンプライアンス 契約 個人情報 海外データ 反社チェック エスカレーション 利用規約
29	提案手順	初回訪問前に確認すべきことは何ですか？	①企業調査（業種・規模・近況ニュース）②決裁権者の確認③競合の利用状況（現在どのSFAを使っているか）④課題の仮説設定（3つのWHYを事前に組み立てる）⑤過去事例の確認（同業他社の導入事例を手元に用意）の5点です。	同業他社の事例を手元に用意することが成約率向上に大きく貢献する（受注事例共通パターン）。	訪問前チェックリストを使って5点を全て確認してから訪問する。	課題の仮説設定が難しい場合は上長・マネージャーに相談。	営業プレイブック 付録 初回訪問前チェックリスト	初回訪問 準備 チェックリスト 企業調査 競合確認 事例 3つのWHY
30	提案手順	提案書提出前に確認すべきことは何ですか？	①顧客の課題が明示されているか②3つのWHYが盛り込まれているか③競合との差別化が明確か④導入スケジュール・サポート体制が記載されているか⑤ROI・期待効果の試算が含まれているか⑥見積もりの有効期限が記載されているか、の6点です。	提案書に不足がある場合は提出前に修正する。見積もりの有効期限（30日）を忘れずに記載する。	提案書提出前チェックリストで6点を全て確認してから提出する。	大型案件（月額300万円以上）の提案書は上長（VP of Sales）にレビューを依頼。	営業プレイブック 付録 提案書提出前チェックリスト	提案書 チェックリスト 差別化 ROI 有効期限 3つのWHY 提出前
