No	カテゴリ	質問	回答	条件/例外	次の行動	エスカレーション	参照元	言い換えキーワード
11	製品情報	TechFlow Analyticsはどんな製品ですか？	営業・マーケティング・CSの各データを統合し、経営・現場双方が使えるBIダッシュボードを提供するデータ分析基盤です。ノーコードでダッシュボード作成が可能です。	主にTechFlow 3製品（CRM/MA/CS）を既に導入済みの企業向け。外部データ取り込みには別途ETLツールが必要。データ更新は最短15分ごと（リアルタイムではない）。	Analyticsはセット提案の締め括りとして提案。単独では魅力が出にくい。	高度な機械学習・統計分析が必要な場合はTableau/Power BIとの比較が必要。	製品カタログ 製品4 概要	Analytics BI ダッシュボード データ分析 Tableau Power BI Looker 経営可視化 KPI
12	製品情報	TechFlow Analyticsの価格はいくらですか？	Basicプランは月額48,000円（〜20名）、Proは98,000円（〜100名）、Enterpriseは個別見積もり（無制限）です。TechFlowの3製品セット（CRM+MA+CS）で25%割引が適用可能です。	TechFlow製品以外のデータを取り込む場合はETLツールが別途必要（追加コスト）。	利用ユーザー数を確認してプランを選択。3製品セット割引と組み合わせた提案が効果的。	大規模案件はEnterpriseで個別見積もり対応。	製品カタログ 製品4 価格	Analytics 価格 料金 月額 BI ダッシュボード 分析 費用
13	製品情報	TechFlow Connectとはどんな製品ですか？	TechFlow製品と外部システム（SAP・Salesforce・kintone等）を繋ぐAPI統合プラットフォーム（iPaaS）です。200以上のコネクタをノーコードで設定できます。	複雑なデータ変換にはコード記述が必要。Starterプランはログ保管30日まで。Zapier（6,000以上）やMake（1,700以上）よりコネクタ数は少ない。	基幹システム連携が必要な案件には積極的に提案。SAP連携案件は特にTechFlow Connectが差別化になる。	複雑な変換ロジックが必要な場合はSEをアサイン。	製品カタログ 製品5 概要	Connect API統合 iPaaS コネクタ SAP kintone Zapier Make Workato 連携 システム統合 ノーコード
14	製品情報	TechFlow Connectの価格と実行回数上限はどうなっていますか？	Starterは月額28,000円（10,000回/月）、Businessは78,000円（100,000回/月）、Enterpriseは個別見積もり（無制限）です。	Starter/Businessはログ保管30日まで（Enterprise無制限）。実行回数の超過時は追加費用が発生する場合がある（要確認）。	月間連携実行回数の見積もりを事前にヒアリングしてプランを提案。	月間100,000回超のヘビーユースはEnterpriseで個別見積もり。	製品カタログ 製品5 価格	Connect API統合 価格 料金 月額 Starter Business Enterprise 実行回数 費用
15	製品情報	複数のTechFlow製品をセットで導入するとどのくらい割引になりますか？	CRM Pro+MA、またはCRM Pro+CSは15%割引。CRM Pro+MA+CSのトリプルセットは25%割引。全5製品（TechFlow Platform）は35%割引です。	セット割引は正式な見積書に適用（口頭では言及しない）。独自割引はセット割引に上乗せ不可（通常）。	複数製品の提案時は必ずセット割引を見積書に反映。年払いとセット割引の組み合わせで最大の節約効果を提示。	Enterprise案件（月額500万円以上）でさらなる個別割引が必要な場合は上長承認が必要。	製品カタログ セット割引	セット割引 バンドル 複数製品 割引 コスト削減 パッケージ TechFlow Platform
16	製品情報	TechFlow CRM Proの導入にどのくらいの期間がかかりますか？	標準的なケースで初期設定〜本番稼働まで最短2週間です。大規模・複雑なシステム連携が必要な場合は3〜6ヶ月程度かかる場合があります。	API連携・大規模データ移行（10万件以上）・複雑なカスタム要件がある場合は期間が延びる。Salesforceは大規模案件で3〜6ヶ月かかることが多い。	「早く使いたい」という顧客には「最短2週間」を前面に訴求。	API連携・複雑な要件がある場合はSEをアサインして期間を再見積もり。	製品カタログ 製品1 強み / 競合情報 Salesforce比較	CRM 導入期間 導入スピード 最短 2週間 スタート 早い 即座 Salesforce比較
17	製品情報	TechFlow製品はセキュリティ面で安全ですか？	ISMS認証を取得しており、データは国内データセンター完結で管理されています。海外のデータセンターにデータが出ることはありません。	海外データ移転に関する特別条項が必要な場合は法務部門にエスカレーション。SOC2・ペネトレーションテストの詳細はSEに確認が必要。	IT部門・財務・法務担当者への提案時はセキュリティ認証を早めに提示する。	ペネトレーションテスト等の詳細なセキュリティ要件はSEをアサイン。	製品カタログ 製品1 強み	セキュリティ ISMS 認証 国内データセンター 個人情報 コンプライアンス 情報セキュリティ データ保護
18	製品情報	TechFlow CRM Proはモバイルで使えますか？	iOS・Androidのモバイルアプリが提供されており、移動中の活動ログ記録が可能です。	オフライン対応の範囲については詳細確認が必要。	現場営業担当者への訴求時に「モバイルアプリで移動中もログが残せる」を強調。	モバイルアプリの詳細機能仕様はカタログまたはSEに確認。	製品カタログ 製品1 主な機能	CRM モバイル スマートフォン アプリ iOS Android 外出先 移動中 モバイルアプリ
19	製品情報	TechFlow製品は他社ツール（Slack・Gmail等）と連携できますか？	Slack・Microsoft Teams・Gmail・Outlookとの連携が標準対応です。REST API・Webhookによる汎用的なAPI連携も可能です。外部システムとの高度な連携にはTechFlow Connectが最適です。	Salesforce連携はTechFlow MAでは公式非サポート（コミュニティ対応のみ）。複雑な連携ロジックはTechFlow ConnectまたはSEのアサインが必要。	基幹システム連携（SAP等）の要件がある場合はTechFlow Connectを一緒に提案。	Salesforce連携・複雑なAPI開発が必要な場合はSEをアサイン。	製品カタログ 製品1 主な機能 / 製品5 概要	連携 インテグレーション Slack Teams Gmail Outlook API Webhook 外部連携 システム連携
20	製品情報	TechFlow CRM ProのGrowthプランとStarterプランの違いは何ですか？	Starterは月額4,800円/ユーザー（最低5名〜）、GrowthはStarterの倍額の9,600円/ユーザー（最低10名〜）です。機能の詳細な差分は営業担当者に確認が必要ですが、主に利用規模と機能深度が異なります。	Starterは小規模チーム向け。Growthは10名以上の中堅営業チームが主な対象。	顧客の営業チーム人数と必要機能を確認してプランを推奨。	プランの詳細機能比較は製品資料または営業担当者に問い合わせ。	製品カタログ 製品1 価格	CRM Pro Starter Growth プラン 比較 違い 機能差 アップグレード
21	製品情報	TechFlow MAのランディングページ機能はどうですか？	ランディングページ・フォームビルダーが搭載されており、テンプレートは40種類が利用可能です。デザインの自由度は他社MA（HubSpot等）と比べて制限があります。	テンプレートが40種類と少ない点は競合より劣る。コンテンツマーケティングやデザイン自由度を重視する企業には正直に伝える。	HubSpotと比較される場合はMA機能ではなくCRM連携・国内法規制対応・サポート面で差別化。	デザイン自由度が必須要件の場合はHubSpotとの比較説明が必要。	製品カタログ 製品2 弱み	MA ランディングページ フォーム テンプレート デザイン LP マーケティング HubSpot SATORI
22	製品情報	TechFlow Analyticsは既存のTableauやPower BIと共存できますか？	TechFlow AnalyticsはTableau・Power BI・Lookerとの連携機能を持っており、共存利用が可能です。TechFlow製品のデータを既存BIツールに渡すことも可能です。	TechFlow製品以外のデータ取り込みには別途ETLツールが必要。高度な統計分析・機械学習機能はTechFlow Analyticsにはない。	既存BIツールを保有している場合は「連携・共存できる」と訴求。	高度な分析機能が必要な場合はTableau/Power BIとの使い分けを提案。	製品カタログ 製品4 機能 / 強み	Analytics Tableau Power BI Looker BI 連携 共存 データ分析 ダッシュボード
23	製品情報	TechFlow製品のサポート体制はどうなっていますか？	全プランに専任カスタマーサクセス（CS）が付属しています。Enterpriseプランでは連携設定のハンズオン支援も利用可能です。Salesforce・HubSpotのサポートが有償なのと比べて無償でサポートが受けられる点が強みです。	サポートの具体的な対応時間・SLAはプランにより異なる（詳細は要確認）。	サポートを重視する顧客には「全プランCS付属で有償オプション不要」を積極的に訴求。	SLAの個別交渉が求められる場合は上長（営業マネージャー）にエスカレーション。	製品カタログ 製品1 強み	サポート CS カスタマーサクセス 伴走 専任 サービス Salesforce比較 HubSpot比較 無償
24	製品情報	TechFlow CRM Proのレポート機能に技術知識は必要ですか？	標準レポートは技術知識なしで使えます。カスタムレポートの作成には技術知識が必要です。TechFlow Analyticsを併用することでノーコードのダッシュボード作成が可能になります。	カスタムレポートの詳細はプランにより異なる可能性あり。Analyticsは別製品として追加費用が発生する。	レポート機能を重視する顧客にはTechFlow Analyticsとのセット提案を検討。	高度なカスタムレポートが必要な場合はSEに技術詳細の確認を依頼。	製品カタログ 製品1 弱み / 製品4 強み	CRM レポート 分析 ダッシュボード カスタム ノーコード 技術知識 SQL
25	製品情報	TechFlow CRM Proの年払い割引はいくらですか？	年払いを選択すると月払い比10%割引が適用されます。例：Growthプラン20名の場合、月払い192,000円/月→年払い8,640円/ユーザー/月（年額2,073,600円、節約額約23万円）。	年払い割引は営業担当者の判断で適用可能（承認不要）。セット割引と年払い割引の組み合わせ提案が最も節約効果が高い。	年払いを先に提示してから月払いを比較提示するのが基本。	年払いへの切り替えを顧客が渋る場合は、節約額を具体的な金額で提示。	営業プレイブック 第3章 3.1 見積もりの基本原則	年払い 割引 コスト削減 月払い比較 一括払い 節約 費用
26	製品情報	TechFlow CRM Proは製造業・商社向けの機能はありますか？	製造業向けには代理店管理機能（代理店ポータル・活動ログ自動記録）、商社向けには大量商談パイプライン管理とSAP連携（TechFlow Connect経由）が強みです。	代理店管理機能の詳細はデモで確認が必要。商社のSAP連携はTechFlow Connectの追加導入が前提。	製造業・商社への提案時は業種別の具体的な活用シーンをデモで見せる。	SAP等の基幹システム連携が必要な場合はTechFlow ConnectとセットでSEをアサイン。	製品カタログ 製品1 / 過去事例 W-001 W-004	製造業 商社 代理店管理 SAP連携 パイプライン 業種特化 卸売 工業 メーカー
27	製品情報	TechFlow CRM ProとSalesforceを比較したらどちらが安いですか？	TechFlow CRM Pro Growthが9,600円/ユーザー/月に対し、SalesforceのProfessionalは$80（約11,800円）。導入費用・サポート費用を含むTCOではTechFlowが多くの場合50%安くなります。	Salesforce Essentials（$25/約3,700円）との比較では機能差を説明する必要あり。ドル建てのためSalesforceは為替変動リスクあり。	「Salesforceより高い」と言われた場合は比較プランを確認し、TCO試算表で総コストを示す。	TCO試算の詳細は営業ツールフォルダの導入費用比較試算表を参照。	競合情報 Salesforce比較 / 営業プレイブック 第2章 2.1	Salesforce 比較 コスト 価格 TCO 総保有コスト 安い 高い Sales Cloud Einstein
28	製品情報	TechFlow CSはどんな業種・企業に向いていますか？	SaaSビジネスを展開しチャーン率改善が課題の企業（CSM3名以上、管理顧客100社以上）に最適です。特にIT/SaaS企業で顧客数が急増しCSチームが疲弊している場合に効果的です。	スタンドアローン利用には不向き（CRM連携が前提）。CSMが少人数（1〜2名）だとコストが割高になる可能性がある。	SaaS企業へのCS提案時はCRM+CSのセット提案を基本とする。	CRM Pro未導入の場合はまずCRM Proの提案から始める。	製品カタログ 製品3 対象顧客	CS カスタマーサクセス SaaS チャーン 解約 IT企業 ヘルスチェック 顧客管理 Gainsight ChurnZero Growww
29	製品情報	TechFlow Connectはどんな国内システムに対応していますか？	kintone・弥生・freee・MJSLINK等の国内主要SaaSへのコネクタが充実しており、SAP等の基幹システムとの連携も可能です。200以上のコネクタを提供しています。	Zapier（6,000以上）やMake（1,700以上）と比較するとコネクタ数は少ない。複雑な変換ロジックはコード記述が必要。	基幹システム連携が必要な商社・製造業への提案でTechFlow Connectを積極提案。	コネクタ数・対応システムの詳細確認はSEに依頼。	製品カタログ 製品5 強み	Connect コネクタ kintone SAP 弥生 freee 基幹システム 国内対応 API連携 Zapier Make Workato
30	製品情報	TechFlow Analytics でリアルタイムのデータ確認はできますか？	データ更新は最短15分ごとのため、完全なリアルタイム監視には対応していません。通常の経営管理・KPI追跡用途では問題ない更新頻度です。	リアルタイム監視（秒単位・分単位）が必須の場合はTechFlow Analyticsでは対応不可。機械学習・統計分析機能もない。	「リアルタイムで見たい」という要望には「15分ごと更新」の実用性を確認してから提案。	リアルタイム監視が必須の場合はTableau等の専用BIツールとの比較が必要。	製品カタログ 製品4 弱み	Analytics リアルタイム データ更新 監視 BI ダッシュボード 頻度 Tableau
